"Age","Wild","MeanClutchSize","ClutchSize"
5,0,1.64872127070013,0
9,0,2.45960311115695,3
6,0,1.82211880039051,1
9,0,2.45960311115695,3
10,1,12.1824939607035,10
3,0,1.349858807576,0
7,0,2.01375270747048,2
9,1,11.0231763806416,11
7,0,2.01375270747048,1
6,1,8.16616991256765,8
10,0,2.71828182845905,6
6,0,1.82211880039051,2
8,1,9.97418245481472,14
7,1,9.02501349943412,13
4,0,1.49182469764127,2
9,1,11.0231763806416,10
5,0,1.64872127070013,4
3,0,1.349858807576,1
5,0,1.64872127070013,0
10,1,12.1824939607035,17
9,0,2.45960311115695,1
8,1,9.97418245481472,10
7,1,9.02501349943412,14
10,1,12.1824939607035,12
8,0,2.22554092849247,3
8,1,9.97418245481472,8
7,1,9.02501349943412,7
7,1,9.02501349943412,7
5,0,1.64872127070013,1
4,0,1.49182469764127,5
10,0,2.71828182845905,1
9,0,2.45960311115695,1
8,1,9.97418245481472,7
9,0,2.45960311115695,3
3,0,1.349858807576,2
6,0,1.82211880039051,4
8,1,9.97418245481472,11
5,0,1.64872127070013,2
5,1,7.38905609893065,7
5,0,1.64872127070013,2
4,0,1.49182469764127,3
6,1,8.16616991256765,10
6,1,8.16616991256765,15
6,1,8.16616991256765,8
4,0,1.49182469764127,1
