"Season","error","Fall","Spring","Summer","Winter","SeasonN","Mass"
"Spring",-0.0560475646552213,0,1,0,0,2,3.94395243534478
"Spring",-0.023017748948328,0,1,0,0,2,3.97698225105167
"Spring",0.155870831414912,0,1,0,0,2,4.15587083141491
"Spring",0.0070508391424576,0,1,0,0,2,4.00705083914246
"Spring",0.0129287735160946,0,1,0,0,2,4.01292877351609
"Spring",0.171506498688328,0,1,0,0,2,4.17150649868833
"Spring",0.0460916205989202,0,1,0,0,2,4.04609162059892
"Spring",-0.126506123460653,0,1,0,0,2,3.87349387653935
"Spring",-0.0686852851893526,0,1,0,0,2,3.93131471481065
"Spring",-0.0445661970099958,0,1,0,0,2,3.95543380299
"Spring",0.122408179743946,0,1,0,0,2,4.12240817974395
"Spring",0.0359813827057364,0,1,0,0,2,4.03598138270574
"Spring",0.0400771450594052,0,1,0,0,2,4.0400771450594
"Spring",0.011068271594512,0,1,0,0,2,4.01106827159451
"Spring",-0.0555841134754075,0,1,0,0,2,3.94441588652459
"Spring",0.178691313680308,0,1,0,0,2,4.17869131368031
"Spring",0.0497850478229239,0,1,0,0,2,4.04978504782292
"Spring",-0.196661715662964,0,1,0,0,2,3.80333828433704
"Spring",0.0701355901563686,0,1,0,0,2,4.07013559015637
"Spring",-0.0472791407727934,0,1,0,0,2,3.95272085922721
"Summer",-0.106782370598685,0,0,1,0,3,3.89321762940131
"Summer",-0.0217974914658295,0,0,1,0,3,3.97820250853417
"Summer",-0.102600444830724,0,0,1,0,3,3.89739955516928
"Summer",-0.072889122929114,0,0,1,0,3,3.92711087707089
"Summer",-0.0625039267849257,0,0,1,0,3,3.93749607321507
"Summer",-0.168669331074241,0,0,1,0,3,3.83133066892576
"Summer",0.0837787044494525,0,0,1,0,3,4.08377870444945
"Summer",0.0153373117836515,0,0,1,0,3,4.01533731178365
"Summer",-0.113813693701195,0,0,1,0,3,3.8861863062988
"Summer",0.125381492106993,0,0,1,0,3,4.12538149210699
"Summer",0.0426464221476814,0,0,1,0,3,4.04264642214768
"Summer",-0.0295071482992271,0,0,1,0,3,3.97049285170077
"Summer",0.0895125661045022,0,0,1,0,3,4.0895125661045
"Summer",0.0878133487533042,0,0,1,0,3,4.0878133487533
"Summer",0.0821581081637487,0,0,1,0,3,4.08215810816375
"Summer",0.0688640254100091,0,0,1,0,3,4.06886402541001
"Summer",0.0553917653537589,0,0,1,0,3,4.05539176535376
"Summer",-0.00619117105767217,0,0,1,0,3,3.99380882894233
"Summer",-0.0305962663739917,0,0,1,0,3,3.96940373362601
"Summer",-0.0380471001012383,0,0,1,0,3,3.96195289989876
"Winter",-0.0694706978920513,0,0,0,1,4,4.48052930210795
"Winter",-0.0207917278019599,0,0,0,1,4,4.52920827219804
"Winter",-0.126539635156826,0,0,0,1,4,4.42346036484317
"Winter",0.216895596533851,0,0,0,1,4,4.76689559653385
"Winter",0.120796199830499,0,0,0,1,4,4.6707961998305
"Winter",-0.112310858320335,0,0,0,1,4,4.43768914167967
"Winter",-0.0402884835299076,0,0,0,1,4,4.50971151647009
"Winter",-0.0466655353623219,0,0,0,1,4,4.50333446463768
"Winter",0.0779965118336318,0,0,0,1,4,4.62799651183363
"Winter",-0.00833690664718293,0,0,0,1,4,4.54166309335282
"Winter",0.0253318513994755,0,0,0,1,4,4.57533185139948
"Winter",-0.0028546755348703,0,0,0,1,4,4.54714532446513
"Winter",-0.00428704572913161,0,0,0,1,4,4.54571295427087
"Winter",0.136860228401446,0,0,0,1,4,4.68686022840145
"Winter",-0.0225770985659268,0,0,0,1,4,4.52742290143407
"Winter",0.151647060442954,0,0,0,1,4,4.70164706044295
"Winter",-0.154875280423022,0,0,0,1,4,4.39512471957698
"Winter",0.0584613749636069,0,0,0,1,4,4.60846137496361
"Winter",0.0123854243844614,0,0,0,1,4,4.56238542438446
"Winter",0.0215941568743973,0,0,0,1,4,4.5715941568744
"Fall",0.0379639482759882,1,0,0,0,1,4.63796394827599
"Fall",-0.0502323453109302,1,0,0,0,1,4.54976765468907
"Fall",-0.033320738366942,1,0,0,0,1,4.56667926163306
"Fall",-0.101857538310709,1,0,0,0,1,4.49814246168929
"Fall",-0.107179122647558,1,0,0,0,1,4.49282087735244
"Fall",0.0303528641404258,1,0,0,0,1,4.63035286414043
"Fall",0.0448209778629426,1,0,0,0,1,4.64482097786294
"Fall",0.00530042267305041,1,0,0,0,1,4.60530042267305
"Fall",0.0922267467879738,1,0,0,0,1,4.69222674678797
"Fall",0.205008468562714,1,0,0,0,1,4.80500846856271
"Fall",-0.0491031166056535,1,0,0,0,1,4.55089688339435
"Fall",-0.230916887564081,1,0,0,0,1,4.36908311243592
"Fall",0.100573852446226,1,0,0,0,1,4.70057385244623
"Fall",-0.0709200762582393,1,0,0,0,1,4.52907992374176
"Fall",-0.0688008616467358,1,0,0,0,1,4.53119913835326
"Fall",0.10255713696967,1,0,0,0,1,4.70255713696967
"Fall",-0.0284773007051009,1,0,0,0,1,4.5715226992949
"Fall",-0.122071771225454,1,0,0,0,1,4.47792822877455
"Fall",0.018130347974915,1,0,0,0,1,4.61813034797491
"Fall",-0.0138891362439045,1,0,0,0,1,4.5861108637561
